id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
323152,3.4,3.4,4.2,4.2,3.4,None,None,None,None,4.7,外观漂亮、价格便宜、续航一般、内存不足、运行速度慢、配置低、分辨率低、机身内存小,http://detail.zol.com.cn/324/323152/review.shtml
1161776,4.1,2.0,3.4,6.1,5.4,None,None,None,None,4.4,手感舒适、听筒声音大、性能差、续航一般、网速慢、运行速度慢、电池容量小,http://detail.zol.com.cn/1162/1161776/review.shtml
385867,4.7,4.8,4.6,5.8,5.3,None,None,None,None,6.3,外观漂亮、运行流畅、性价比高、手感舒适、成像效果好、屏幕效果好、电池容量大、续航一般、运行速度慢、电池表现差、机身内存小、价格高、信号差,http://detail.zol.com.cn/386/385867/review.shtml
295745,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/296/295745/review.shtml
295766,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/296/295766/review.shtml
1162159,5.1,1.9,0.3,5.1,1.9,None,None,None,None,3.6,续航一般、系统不足,http://detail.zol.com.cn/1163/1162159/review.shtml
1162165,2.4,4,2.4,5.6,4,None,None,None,None,4.6,机身内存大、续航一般、运行速度慢,http://detail.zol.com.cn/1163/1162165/review.shtml
237968,4.5,4.5,4.5,4.5,2.9,None,None,None,None,5.1,外观漂亮、音质一般、屏幕质量一般,http://detail.zol.com.cn/238/237968/review.shtml
1309347,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1310/1309347/review.shtml
382220,5.1,6.5,5.1,6.7,5.2,None,None,None,None,7.2,外观漂亮、运行流畅、手感舒适、屏幕效果好、续航出色、界面漂亮、系统强悍、电池容量小、价格高、续航一般、网速慢、信号差、屏幕色彩差,http://detail.zol.com.cn/383/382220/review.shtml
382226,4.8,5.2,5.1,5.5,5.5,None,None,None,None,6.6,外观漂亮、运行流畅、手感舒适、音色音质好、屏幕效果好、分辨率高、电池容量大、续航一般、电池容量小、价格高、运行速度慢、耳机一般、做工用料稍差,http://detail.zol.com.cn/383/382226/review.shtml
384000,6.9,6.8,6.2,6.9,6.8,None,None,None,None,8.4,外观漂亮、屏幕大、性价比高、分辨率高、电池容量大、运行流畅、机身轻薄、电池容量小、性价比差、成像效果差、功能一般、续航一般、音质一般,http://detail.zol.com.cn/384/384000/review.shtml
262994,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/263/262994/review.shtml
388369,4.7,5.5,4.6,6.3,5.3,None,None,None,None,6.7,外观漂亮、屏幕大、机身轻薄、手感舒适、屏幕效果好、系统流畅、续航出色、机身内存小、续航一般、运行速度慢、价格高、电池容量小、信号差,http://detail.zol.com.cn/389/388369/review.shtml
268829,None,None,None,None,None,None,None,None,None,10.0,性价比高,http://detail.zol.com.cn/269/268829/review.shtml
269684,None,None,None,None,None,None,None,None,None,5.0,外观漂亮、功能一般,http://detail.zol.com.cn/270/269684/review.shtml
299399,None,None,None,None,None,None,None,None,None,8.0,外观漂亮、外观不是很满意,http://detail.zol.com.cn/300/299399/review.shtml
299403,None,None,None,None,None,None,None,None,None,10.0,性价比高,http://detail.zol.com.cn/300/299403/review.shtml
1139833,4.1,4.7,3.7,4.7,5.1,None,None,None,None,5.6,价格便宜、外观漂亮、屏幕大、续航出色、运行流畅、信号强、机身内存大、性能差、价格高、电池容量小、续航一般、系统不足、电池表现差,http://detail.zol.com.cn/1140/1139833/review.shtml
388369,4.7,5.5,4.6,6.3,5.3,None,None,None,None,6.7,外观漂亮、屏幕大、机身轻薄、手感舒适、屏幕效果好、系统流畅、续航出色、机身内存小、续航一般、运行速度慢、价格高、电池容量小、信号差,http://detail.zol.com.cn/389/388369/review.shtml
242996,None,None,None,None,None,None,None,None,None,3.3,成像效果差,http://detail.zol.com.cn/243/242996/review.shtml
1202452,4.7,4.7,4.7,6.3,4.7,None,None,None,None,6.2,屏幕大、游戏运行流畅,http://detail.zol.com.cn/1203/1202452/review.shtml
516064,4.6,5,4.2,5.5,5.5,None,None,None,None,6.3,外观漂亮、屏幕效果好、机身轻薄、系统流畅、手感舒适、屏幕大、运行流畅、续航一般、电池容量小、发热量大温度高、性价比低、摄像效果一般、电池表现差,http://detail.zol.com.cn/517/516064/review.shtml
275853,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/276/275853/review.shtml
