id,type,reference_price,descript,url,company,review_url,review_count
1949577,金立i15Pro（6+128GB） ,699,超薄双屏，百元老人机，长续航,http://detail.zol.com.cn/cell_phone/index1949577.shtml,金立,,0
1337226,金立M30（8GB/128GB/全网通） ,1339,10000mAh大电池，3D人脸识别，三防手机,http://detail.zol.com.cn/cell_phone/index1337226.shtml,金立,http://detail.zol.com.cn/1338/1337226/review.shtml,7
1949576,金立P14 Pro Mini（3+32GB） ,399,小巧易携带，Type-C接口，人脸识别,http://detail.zol.com.cn/cell_phone/index1949576.shtml,金立,,0
1948954,金立G14ProMax （4+128GB） ,599,超薄大屏，百元老人机，长续航,http://detail.zol.com.cn/cell_phone/index1948954.shtml,金立,,0
1361241,金立Max Pro（全网通） ,0,主屏尺寸:6.52英寸 屏幕类型:全面屏（19:9水滴屏） 主屏材质:LCD 出厂系统内核:Android 10 主屏分辨率:1600x720像素 CPU型号:联发科 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1361241.shtml,金立,,0
1949579,金立F3 Pro（128GB） ,1399,正副双屏，持久续航，人脸识别,http://detail.zol.com.cn/cell_phone/index1949579.shtml,金立,,0
1950494,金立M6 Plus（4+128GB） ,768,超长待机，加密芯片，大屏安全,http://detail.zol.com.cn/cell_phone/index1950494.shtml,金立,,0
1290924,金立M11S（6GB/128GB/全网通） ,1099,屏幕类型:全面屏 主屏尺寸:6.3英寸 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE SIM卡类型:双卡，Nano SIM卡 RAM容量:6GB ROM容量:128GB 电池类型:不可拆卸式电池,http://detail.zol.com.cn/cell_phone/index1290924.shtml,金立,http://detail.zol.com.cn/1291/1290924/review.shtml,1
1950484,金立P90（8+128GB） ,699,超长待机，轻奢高端，游戏大屏,http://detail.zol.com.cn/cell_phone/index1950484.shtml,金立,,0
1314063,金立G6（4GB/64GB/全网通） ,699,屏幕类型:全面屏（水滴屏） 主屏尺寸:6.2英寸 出厂系统内核:Android 9.0 主屏材质:IPS 主屏分辨率:1520x720像素 CPU型号:联发科 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE,http://detail.zol.com.cn/cell_phone/index1314063.shtml,金立,http://detail.zol.com.cn/1315/1314063/review.shtml,74
