id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1399645,8.9,9.0,9.4,8.7,9.2,None,None,None,None,9.9,续航出色、性能好、游戏运行流畅、手感舒适、运行流畅、分辨率高、系统强悍、系统不足、外观不是很满意、电池表现差、价格高、电池容量小、功耗大,http://detail.zol.com.cn/1400/1399645/review.shtml
1438886,8.7,7.0,9.3,9.2,9.5,None,None,None,None,9.4,性能不错、运行流畅、屏幕效果好、手感舒适、续航出色、成像效果好、性能好、电池容量小、续航一般、内存不足、价格高、成像效果差、性能差,http://detail.zol.com.cn/1439/1438886/review.shtml
1363222,8.9,8.8,9.4,9.6,9.5,None,None,None,None,8.4,性能好、外观漂亮、机身轻薄、系统流畅、手感舒适、性能不错、游戏运行流畅、续航一般、电池容量小、电池表现差、摄像效果一般、信号差、处理器性能一般,http://detail.zol.com.cn/1364/1363222/review.shtml
1438887,9.5,9.5,9.6,9.1,9.6,None,None,None,None,9.3,性能不错、续航出色、成像效果好、性能好、运行流畅、屏幕效果好、分辨率高、电池容量小、内存不足、性能差、手感一般、续航一般、成像效果差,http://detail.zol.com.cn/1439/1438887/review.shtml
1923518,9.0,7.0,9.9,8.9,8.9,None,None,None,None,9.2,续航出色、价格便宜、电池容量大、运行流畅、外观漂亮、游戏运行流畅、系统流畅、系统不足、处理器性能一般、续航一般、性能差、电池容量小、手感一般,http://detail.zol.com.cn/1924/1923518/review.shtml
1474652,9.3,9.6,9.8,8.9,9.8,None,None,None,None,9.5,续航出色、屏幕效果好、摄像效果出色、成像效果好、手感舒适、运行流畅、游戏运行流畅、续航一般、手感一般、性能差、价格高、系统不足、游戏性能低,http://detail.zol.com.cn/1475/1474652/review.shtml
1427748,8.9,8.5,9.7,9.2,9.4,None,None,None,None,9.8,手感舒适、续航出色、成像效果好、外观漂亮、运行流畅、性能好、系统强悍、电池容量小、处理器性能一般、性能差、系统不足、续航一般、手感一般,http://detail.zol.com.cn/1428/1427748/review.shtml
1383833,8.8,8.6,8.7,9.5,9.1,None,None,None,None,9.9,手感舒适、成像效果好、外观漂亮、游戏运行流畅、续航出色、运行流畅、游戏性能不错、电池容量小、配置低、处理器性能一般、分辨率低、信号差,http://detail.zol.com.cn/1384/1383833/review.shtml
1849601,7.7,6.8,7.8,7.4,8,None,None,None,None,9.3,续航出色、性能不错、手感舒适、游戏运行流畅、外观漂亮、摄像效果出色、系统流畅、电池容量小、价格高、续航一般、分辨率低、摄像效果一般、性能差,http://detail.zol.com.cn/1850/1849601/review.shtml
1320397,8.9,7.1,8.9,8.7,8.9,None,None,None,None,8.7,机身轻薄、外观漂亮、续航出色、手感舒适、屏幕大、系统流畅、成像效果好、电池容量小、价格高、系统不足、续航一般、外观不是很满意、性能差,http://detail.zol.com.cn/1321/1320397/review.shtml
1336826,8.6,7.5,9.3,9.1,9.4,None,None,None,None,8.5,外观漂亮、手感舒适、机身轻薄、电池容量大、续航出色、视频流畅效果好、系统流畅、电池容量小、功耗大、续航一般、摄像效果一般、价格高、外观不是很满意,http://detail.zol.com.cn/1337/1336826/review.shtml
1398801,8.6,9.0,9.7,8.8,9.4,None,None,None,None,9.9,手感舒适、机身轻薄、系统强悍、续航出色、运行流畅、游戏运行流畅、性能好、系统不足、电池容量小、续航一般、价格高、成像效果差、屏幕质量一般,http://detail.zol.com.cn/1399/1398801/review.shtml
